clue_id,confidence,difficulty,neutral_ratio,positive_ratio,negative_ratio,mean_head_movement,look_away_ratio
1,3,2,0.0,0.0,0.0,0.23992919918205305,0.0
2,4,1,0.2857142857142857,0.0,0.3333333333333333,1.266054226746638,0.0
3,4,2,0.05555555555555555,0.0,0.0,0.4479032082388083,0.0
4,2,4,0.0,0.0,0.0,0.0,0.0
5,4,3,0.0,0.0,0.016129032258064516,0.13007217737633883,0.0
6,4,2,0.027777777777777776,0.0,0.0,0.5587307446761809,0.0
7,5,1,0.08333333333333333,0.0,0.08333333333333333,0.455706045958145,0.0
8,2,4,0.0,0.0,0.0,0.49653121862882915,0.007575757575757576
9,3,3,0.0,0.0,0.0,0.0,0.0
10,4,3,0.0,0.0,0.0,0.0,0.0
11,2,5,0.004166666666666667,0.01875,0.05416666666666667,3.4406787241678902,0.08541666666666667
12,5,1,0.0,0.0,0.0,1.022131638498561,0.0
13,3,4,0.030303030303030304,0.10606060606060606,0.7765151515151515,8.95477617660191,0.03409090909090909
14,4,4,0.05345911949685535,0.0,0.9245283018867925,1.7123253705533379,0.0
15,4,3,0.10526315789473684,0.13157894736842105,0.7368421052631579,2.6186120807574107,0.0
16,3,4,0.0966183574879227,0.014492753623188406,0.7584541062801933,2.1848144860342424,0.021739130434782608
17,3,5,0.04212454212454213,0.07326007326007326,0.673992673992674,3.7097343416990993,0.12454212454212454
18,4,2,0.05263157894736842,0.0,0.9385964912280702,5.536583735149691,0.008771929824561403
19,5,1,0.0,0.0,0.0,0.0,0.0
20,5,1,0.0,0.03333333333333333,0.95,3.23273706947491,0.45
21,4,2,0.02564102564102564,0.07051282051282051,0.16666666666666666,0.9871568322277221,0.0
22,2,4,0.08080808080808081,0.015151515151515152,0.35858585858585856,1.7579244308326885,0.015151515151515152
23,2,4,0.09166666666666666,0.09583333333333334,0.225,0.8988330847080964,0.0
24,2,4,0.02564102564102564,0.0,0.3333333333333333,1.7195238649414766,0.0
25,3,2,0.0,0.0,0.5,1.2660051138497674,0.0
26,2,4,0.017543859649122806,0.0,0.04093567251461988,0.3036875890962808,0.014619883040935672
27,5,1,0.2777777777777778,0.12222222222222222,0.2222222222222222,2.615102754967221,0.4
28,4,1,0.0,0.0,0.3333333333333333,1.9772163630723787,0.0
29,3,3,0.0,0.007575757575757576,0.07196969696969698,0.15735740894817862,0.0
30,3,2,0.0,0.0,0.16666666666666666,1.6509692078359075,0.018518518518518517
31,2,4,0.010752688172043012,0.0,0.15591397849462366,1.0238299786754066,0.005376344086021506
32,2,5,0.0,0.006944444444444444,0.09722222222222222,0.5832203036941657,0.006944444444444444
34,3,2,0.11564625850340136,0.0,0.7993197278911565,2.5540400856257452,0.003401360544217687
35,2,5,0.0,0.0,0.9305555555555556,1.6021804888656996,0.0
36,5,1,0.3958333333333333,0.0,0.4791666666666667,1.535954036179727,0.08333333333333333
37,5,1,0.006535947712418301,0.09803921568627451,0.8464052287581699,1.915862501174661,0.02287581699346405
38,5,2,0.06313131313131314,0.0025252525252525255,0.6641414141414141,4.612540618917005,0.020202020202020204
39,1,5,0.2222222222222222,0.0,0.7685185185185185,1.4208857225533091,0.0
40,5,1,0.25,0.0,0.625,1.3463897091645842,0.0
41,5,1,0.05555555555555555,0.19444444444444445,0.7222222222222222,1.951617394004438,0.0
42,5,1,0.4,0.0,0.38333333333333336,2.8384665009471464,0.03888888888888889
43,3,2,0.14814814814814814,0.024691358024691357,0.7469135802469136,2.2663622727187946,0.05555555555555555
44,4,1,0.13793103448275862,0.27011494252873564,0.5574712643678161,2.0494392747336487,0.603448275862069
45,3,3,0.125,0.375,0.10416666666666667,4.609595585375723,0.10416666666666667
46,5,1,0.13247863247863248,0.0,0.1623931623931624,1.1049040480518317,0.004273504273504274
47,2,2,0.1836734693877551,0.12074829931972789,0.3741496598639456,4.928412217323065,0.08673469387755102
48,3,3,0.3141025641025641,0.0,0.3269230769230769,3.1031451872771445,0.16666666666666666
49,4,2,0.017543859649122806,0.12280701754385964,0.2894736842105263,3.168675807829899,0.07017543859649122
50,4,3,0.05,0.016666666666666666,0.8055555555555556,3.5310787189267527,0.027777777777777776
